key (EN source),AM translation,first seen at,status
Your profile could not be approved for this pilot. See the private note below. Your details remain hidden and are not published.,"መገለጫዎ ለዚህ ፓይላት መጽደቅ አልቻለም ። በታች ያለዎን የግል ማስታዋሻ ይመልከቱ ። መረጃዎ ተደብቆ ይቆያል , ለሕዝብመ አይቀርብም ።",components/ReviewStatusCard.tsx:42,translated
"Your profile is approved and live for values-only discovery. Your name, phone, and photo stay hidden.","መገለጫዎ ጸድቆ በእሴት ፍለጋ ላይ ንቁ ነው ። ስምዎ , ስልክዎና ፎቶዎ ግን ተደብቀው ይቆያሉ ።",components/ReviewStatusCard.tsx:32,translated
Your profile is in for private review,መገለጫዎ ለግል ግምገማ ቀርብቷል,components/RealHomeGate.tsx:130,translated
Your profile is in for private review.,መገለጫዎ ለግል ግምገማ ቀርብቷል ።,onboarding/OnboardingFlow.tsx:427,translated
Your profile would now enter private review.,መገለጫዎ አሁን ወደ ግል ግምገማ ይገባል ።,onboarding/OnboardingFlow.tsx:425,translated
Your public draft has not been saved yet,የሕዝብ ርቂቅዎ ገና አልተቀመጠም,PilotDisabledScreen.tsx:21,translated
Your public draft is saved.,የሕዝብ ርቂቅዎ ተቀመግቷል ።,onboarding/OnboardingFlow.tsx:428,translated
Your public draft was transmitted and saved,የሕዝብ ርቂቅዎ ተልኳልና ተቀምግቷል,PilotDisabledScreen.tsx:21,translated
Your rights.,መብቶክዎ ።,components/PrivacyScreen.tsx:94,translated
Your saved progress changed elsewhere. Reload the latest draft?,የተቀመጠዎ ሂደትዎ በልላ ቦታ ተቀይሯል ። የቅርቡን ርቂቅ እንደገና ይጫኑ ?,onboarding/OnboardingFlow.tsx:484,translated
Your short introduction will appear here.,አጭር ትውውቅዎ እዚህ ይታያል ።,onboarding/PublicPreview.tsx:45,translated
Your shortlist,የግል ምርጫ ዝርዝርዎ,components/DiscoverScreen.tsx:207,translated
"Your shortlist is private. Kidan never notifies anyone from a swipe, and never reveals a decline.","የግል ምርጫ ዝርዝርዎ ግላዊ ነው ። Kidan ስለ አንድ ማንሸራታት ለማንም አይሳውቅም , መመለስንመ በፍጹም አይግለጽም ።",components/RequestsScreen.tsx:187,translated
Your shortlist · sent requests,የግል ምርጫ ዝርዝርዎ · የተላኩ ጥያቄዎክ,components/RequestsScreen.tsx:165,translated
Your verification photo is admin-only and is deleted 30 days after approval.,"የማረጋግጫ ፎቶዎ ለአስተዳዳሪ ብቻ ነው , ጸድቆ ከ30 ቀን በኋላም ይወገዳል ።",components/RealHomeGate.tsx:134,translated
Your verification photo would remain admin-only and be scheduled for deletion 30 days after approval.,"የማረጋግጫ ፎቶዎ ለአስተዳዳሪ ብቻ ይቆያል , ጸድቆ ከ30 ቀን በኋላ ይወገዳል ።",onboarding/OnboardingFlow.tsx:453,translated
You’ve already sent a request to this person.,ለዚህ ሰው ቀድመው ጥያቄ ልከወል ።,components/DiscoverScreen.tsx:127,translated
and,እና,components/PairingScreen.tsx:39,translated
cm,ሳንቲሜትር,components/ProfileSheet.tsx:54,translated
e.g. Public health,ለምሳሌ የሕዝብ ቴና,onboarding/OnboardingFlow.tsx:582,translated
values first,በእሴት ቅድሚያ,components/DiscoveryCard.tsx:91,translated
{code} is ready when you are,{code} እርስዎ ዝግጁ ሲሆኑ ዝግጁ ነው,components/PairingScreen.tsx:51,translated
{left} of {cap} requests left today,ከ{cap} ጥያቄዎክ የሚቀሩት {left} ዛሬ,components/RequestsScreen.tsx:101,translated
{n} messages,{n} መልእክትዎክ,components/PairingScreen.tsx:453,translated
{n} more day,ተጫማሪ {n} ቀን,components/PairingScreen.tsx:32,translated
{n} more days,ተጫማሪ {n} ቀናት,components/PairingScreen.tsx:32,translated
{n} more message between you,እርስ በእርስ {n} መልእክትዎክ ይቀራሉ,components/PairingScreen.tsx:35,translated
{n} more messages between you,እርስ በእርስ {n} መልእክትዎክ ይቀራሉ,components/PairingScreen.tsx:35,translated
{n} of {m},{n} ከ{m},onboarding/OnboardingFlow.tsx:477,translated
{n} yrs,{n} ዓመት,components/RequestsScreen.tsx:121,translated
{n}d,{n} ቀን,components/PairingScreen.tsx:452,translated
✓ Photo uploaded — tap to replace,✓ ፎቶ ገብቷል — ለመቀየር ይንኩ,onboarding/OnboardingFlow.tsx:557,translated
